Feature,Missing_Count,Missing_Pct,Original_Mean,Original_Median,Original_Std,Original_Min,Original_Max,Imputed_Mean,Imputed_Median,Imputed_Std,Imputed_Min,Imputed_Max,ImputedVals_Mean,ImputedVals_Median,ImputedVals_Std,Mean_Change,Mean_Change_Pct,Std_Change,Std_Change_Pct
CK,1032,59.44700460829493,181.6435504044318,86.0,405.71203598600573,10.0,7004.333333,156.7387149785007,103.27184428545249,275.621577630187,10.0,7004.333333,139.74936988174144,113.56947687411426,122.03125991339796,-24.90483542593111,-13.71082836163473,-130.09045835581873,-32.06472739702156
UREA,676,38.94009216589861,48.9618528955,35.0,42.47311822043778,8.0,464.5,48.46667307417094,38.0,35.681162175531874,8.0,464.5,47.69020767386205,43.39966244665432,21.005816771703238,-0.49517982132906013,-1.0113584189428648,-6.791956044905909,-15.991187672294954
ALP,474,27.30414746543779,88.53851426292393,71.5,71.44112285393165,1.755,914.0,86.58596272914748,72.0,62.78021292489068,1.755,914.0,81.38739725314359,74.10654421890558,28.518575626336105,-1.9525515337764432,-2.2053131905716725,-8.660909929040969,-12.123143622405047
GGT,436,25.115207373271893,66.2169582725923,34.0,135.39212461232566,4.0,3041.0,61.96834736888572,34.70741178570704,120.56603669256977,4.0,3041.0,49.30047082113672,37.67253576267798,54.97786224940288,-4.24861090370657,-6.416197624506566,-14.826087919755892,-10.950480289904672
BAT,362,20.852534562211982,0.016277553516011647,0.0,0.039667963683051054,0.0,0.7,0.016980195331321214,0.0,0.03639301217851092,0.0,0.7,0.019647128630313888,0.018236235253829912,0.01927993782691067,0.0007026418153095668,4.316630349999484,-0.003274951504540137,-8.25591031268244
MO,362,20.852534562211982,7.832528104074235,7.45,3.8823861036006493,0.15,42.7,7.956929732547522,7.797745418238492,3.547786894327845,0.15,42.7,8.429106079294192,8.238674601189114,1.6981253816433406,0.12440162847328651,1.5882691618888247,-0.3345992092728043,-8.618390864383278
EO,362,20.852534562211982,0.8822169543631733,0.2,1.6195301195645848,0.0,12.7,0.9688558716639316,0.4,1.5274175334123001,0.0,12.7,1.2977008229657052,1.0811654191888562,1.0487973448857104,0.08663891730075834,9.820590827717485,-0.09211258615228468,-5.687611797985542
BA,362,20.852534562211982,0.3395593400640466,0.3,0.2711311633056754,0.0,3.1,0.34890712812519287,0.3,0.25020503101326,0.0,3.1,0.3843874065672232,0.37998800023571877,0.14031571050806957,0.009347788061146278,2.7529173720808644,-0.020926132292415356,-7.718084500977511
NET,362,20.852534562211982,6.451065137374818,5.3,4.475699938361982,0.4,73.0,6.353519988164542,5.476763871588887,4.0703981238781175,0.4,73.0,5.983279559946529,5.745248141389494,1.8073745819813851,-0.09754514921027635,-1.5120781938030647,-0.40530181448386493,-9.055607392487472
LYT,362,20.852534562211982,1.367031244389374,1.1949999999999998,0.9522147920757184,0.0,11.4,1.414481189268661,1.2312914718803842,0.9071452448598579,0.0,11.4,1.5945812562966726,1.4857180385935602,0.6821848853358163,0.04744994487928711,3.4710212421283813,-0.04506954721586043,-4.733128238599824
MOT,362,20.852534562211982,0.622232414360262,0.5,0.5408464126983202,0.0,14.5,0.6329444004824714,0.5995593521293339,0.49093344709542935,0.0,14.5,0.6736026019518514,0.6428150250278268,0.20909509138369756,0.01071198612220936,1.7215409989887318,-0.04991296560289088,-9.228676465444531
EOT,362,20.852534562211982,0.06694209393304222,0.0,0.14411573380565051,0.0,1.45,0.074096414387343,0.0,0.13546906635942374,0.0,1.45,0.10125121080781066,0.08488240792168508,0.0909616323062706,0.007154320454300783,10.687326962698208,-0.008646667446226775,-5.999808083333476
LY,362,20.852534562211982,18.581279469149926,16.6,11.004693722734014,1.2,67.0,19.07659862930464,18.04593170022709,10.279037153777328,1.2,67.0,20.95662218193607,20.16485905138113,6.536979195259626,0.49531916015471467,2.6656892006660886,-0.725656568956687,-6.594064198784483
NE,362,20.852534562211982,72.34663350256187,74.0,13.255098428357737,24.0,98.5,71.63203249716064,72.09095572804694,12.34906389535579,24.0,98.5,68.91970713411843,69.53533416131256,7.44114538935014,-0.7146010054012351,-0.9877460371061084,-0.9060345330019466,-6.835366315074594
LDH,303,17.453917050691246,327.6412741711095,278.0,211.6182129813266,98.0,5457.0,320.72794823001203,276.45,196.03539306263238,98.0,5457.0,288.03225161749447,270.7650640927627,84.47789248712003,-6.913325941097469,-2.1100290122443512,-15.582819918694213,-7.36364781611177
AST,98,5.64516129032258,45.85432776421857,32.0,50.674007764895,7.0,1018.5,45.45135851520838,32.0,49.46702924259433,7.0,1018.5,38.71601535318116,30.8,19.59169176449169,-0.4029692490101837,-0.8788030893882868,-1.2069785223006733,-2.3818493455274354
GLU,98,5.64516129032258,119.03531917817459,104.0,57.91045849603708,13.0,855.0,119.32014108931357,104.0,57.072043083767504,13.0,855.0,124.08073588977915,111.19999999999999,40.49202757031978,0.2848219111389767,0.2392751270004571,-0.8384154122695762,-1.4477789229158848
PCR,97,5.587557603686636,67.0976138393734,38.6,77.79620168654516,0.3,442.7,65.78642699231709,38.1,76.16878512220039,0.3,442.7,43.63142449411814,37.06,32.581294972280595,-1.3111868470563053,-1.9541482506295786,-1.6274165643447702,-2.0918971994313083
ALT,96,5.529953917050691,39.17471781462195,27.0,42.54843854830579,6.0,559.5,39.36955749283071,27.0,42.22864800977392,6.0,559.5,42.69806866223022,29.967379001445025,36.36542797864244,0.19483967820875847,0.49736077010370866,-0.3197905385318691,-0.7515917139210803
CA,93,5.357142857142857,2.215060065574559,2.2,0.4772377524549342,1.363333333,20.24870714,2.220501064769398,2.2,0.46548020172624877,1.363333333,20.24870714,2.316625383878226,2.338,0.10645027005793213,0.00544099919483898,0.24563664342111885,-0.01175755072868545,-2.463667358293437
KAL,80,4.6082949308755765,4.232018217961352,4.1875,0.5188346182611177,2.53,6.84,4.237086963064023,4.2,0.5110508219779978,2.53,6.84,4.342009986689303,4.2829999999999995,0.2912958681524568,0.005068745102670746,0.11977134411090655,-0.00778379628311987,-1.5002461303001302
CREA,74,4.262672811059908,1.161565047131769,0.94,0.9759842757914142,0.19,15.7,1.1543603529888664,0.94,0.9596307588923616,0.19,15.7,0.9925468169685392,0.8958070844981352,0.4307465317649287,-0.007204694142902479,-0.6202574845629952,-0.016353516899052623,-1.67559225129849
NAT,73,4.205069124423963,138.58737910847864,138.7,4.576065610542954,115.8,181.9,138.58015466059737,138.7,4.4924424231260796,115.8,181.9,138.41557579995938,138.46357276903288,1.7113499769004077,-0.007224447881270635,-0.005212919046268803,-0.08362318741687425,-1.8274035936943722
RBC,63,3.6290322580645165,4.522348913156007,4.58,0.7253140511843812,1.58,7.06,4.5185936668513795,4.57,0.7158953552555354,1.58,7.06,4.418871014984066,4.508,0.3797608276354243,-0.0037552463046273132,-0.08303751826186812,-0.00941869592884581,-1.2985679670021304
PLT1,63,3.6290322580645165,235.66232104867305,223.3333333,94.21500674091196,19.0,801.5,235.60248349568968,224.0,92.71673600303127,19.0,801.5,234.0134640331316,233.8,34.34252823207333,-0.05983755298336746,-0.025391226190549475,-1.4982707378806879,-1.59026761203858
MCHC,63,3.6290322580645165,33.45316442901972,33.6,1.34213739384594,27.9,46.75,33.46533587461509,33.6,1.3240194618791985,27.9,46.75,33.78855537431417,33.88,0.6070134571765939,0.012171445595370756,0.036383540400777015,-0.018117931966741496,-1.3499312402602799
MCH,63,3.6290322580645165,29.210839037794383,29.45,2.72177061823019,16.2,49.7,29.226736547461172,29.45,2.683957304273828,16.2,49.7,29.648903748612618,29.4,1.2725799033551226,0.01589750966678949,0.05442332432225082,-0.037813313956362116,-1.3892909895893404
MCV,63,3.6290322580645165,87.2850970607113,87.4,7.056978962490066,56.1,131.5,87.2987544415127,87.4,6.954216272268238,56.1,131.5,87.66143377612754,87.44,3.1895984142962726,0.013657380801404884,0.015646864426243884,-0.10276269022182838,-1.4561852992341697
HCT,63,3.6290322580645165,39.2144597791034,39.8,5.612069395029117,19.43333333,56.7,39.18765983888471,39.7,5.539597888346441,19.43333333,56.7,38.47597253752164,38.64,2.9754513109154774,-0.026799940218687368,-0.06834198499648468,-0.07247150668267555,-1.291350865099193
HGB,63,3.6290322580645165,13.135426587753138,13.4,2.042280539692663,6.5,18.55,13.130906612593728,13.4,2.0141415705005516,6.5,18.55,13.010876161138308,13.080000000000002,1.0143044739174587,-0.004519975159409384,-0.034410569989585256,-0.02813896919211123,-1.3778209528621266
WBC,63,3.6290322580645165,8.723710664911536,7.8,4.635722885388834,0.7,77.66666667,8.762878156513915,7.9,4.563752137618268,0.7,77.66666667,9.802992655732641,10.0,1.4723884283240358,0.0391674916023792,0.4489774260845042,-0.07197074777056578,-1.552524806808616
Age,54,3.110599078341014,60.932133463049034,62.0,19.54644956308115,0.0,100.0,60.78608783689429,62.0,19.300425615795756,0.0,100.0,56.23703703703704,56.1,7.392303399196505,-0.14604562615474492,-0.23968572550198183,-0.24602394728539423,-1.2586630962897638
Sex,0,0.0,0.5731182795698925,1.0,0.4947311037608773,0.0,1.0,0.5731182795698925,1.0,0.4947311037608773,0.0,1.0,,,,0.0,0.0,0.0,0.0
