Model,Scaler,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Voting (Soft),StandardScaler,0.8304597701149425,0.8431372549019608,0.7865853658536586,0.8138801261829653,0.8947839342523861
Stacking (LR),StandardScaler,0.8275862068965517,0.8333333333333334,0.7926829268292683,0.8125,0.894783934252386
SVM (RBF),StandardScaler,0.8189655172413793,0.8023952095808383,0.8170731707317073,0.8096676737160121,0.8878910392364793
LightGBM,NoScaling,0.8218390804597702,0.84,0.7682926829268293,0.802547770700637,0.8867311770943798
LightGBM,RobustScaler,0.8362068965517241,0.8543046357615894,0.7865853658536586,0.819047619047619,0.8850742311770944
LightGBM,StandardScaler,0.8132183908045977,0.8152866242038217,0.7804878048780488,0.7975077881619937,0.884676564156946
XGBoost,StandardScaler,0.8362068965517241,0.8543046357615894,0.7865853658536586,0.819047619047619,0.8844114528101802
XGBoost,MinMaxScaler,0.8362068965517241,0.8543046357615894,0.7865853658536586,0.819047619047619,0.8844114528101802
XGBoost,NoScaling,0.8362068965517241,0.8543046357615894,0.7865853658536586,0.819047619047619,0.8844114528101802
XGBoost,RobustScaler,0.8362068965517241,0.8543046357615894,0.7865853658536586,0.819047619047619,0.8844114528101802
Random Forest,StandardScaler,0.8132183908045977,0.8278145695364238,0.7621951219512195,0.7936507936507936,0.8838315217391304
Random Forest,MinMaxScaler,0.8074712643678161,0.8211920529801324,0.7560975609756098,0.7873015873015873,0.8833675768822906
Random Forest,NoScaling,0.8045977011494253,0.8157894736842105,0.7560975609756098,0.7848101265822784,0.8833675768822906
Random Forest,RobustScaler,0.8045977011494253,0.8157894736842105,0.7560975609756098,0.7848101265822784,0.8828042152704136
SVM (RBF),RobustScaler,0.8017241379310345,0.7950310559006211,0.7804878048780488,0.7876923076923077,0.8821580063626723
LightGBM,MinMaxScaler,0.8160919540229885,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.8799045599151645
Gradient Boosting,NoScaling,0.8045977011494253,0.8116883116883117,0.7621951219512195,0.7861635220125787,0.8772203075291621
Gradient Boosting,StandardScaler,0.8045977011494253,0.8116883116883117,0.7621951219512195,0.7861635220125787,0.8771540296924709
Gradient Boosting,RobustScaler,0.8045977011494253,0.8116883116883117,0.7621951219512195,0.7861635220125787,0.8769220572640508
Gradient Boosting,MinMaxScaler,0.8045977011494253,0.8116883116883117,0.7621951219512195,0.7861635220125787,0.8767895015906682
Logistic Regression,NoScaling,0.8189655172413793,0.7988165680473372,0.823170731707317,0.8108108108108109,0.8685379109225876
Stacking (RF),StandardScaler,0.8132183908045977,0.8278145695364238,0.7621951219512195,0.7936507936507936,0.8683059384941676
SVM (Polynomial),MinMaxScaler,0.8247126436781609,0.8121212121212121,0.8170731707317073,0.8145896656534954,0.8681568133616118
SVM (Linear),NoScaling,0.8103448275862069,0.8024691358024691,0.7926829268292683,0.7975460122699386,0.8665827147401908
Logistic Regression,StandardScaler,0.8074712643678161,0.793939393939394,0.7987804878048781,0.7963525835866262,0.8623077942735949
SVM (Linear),StandardScaler,0.8132183908045977,0.8113207547169812,0.7865853658536586,0.7987616099071208,0.8617444326617179
SVM (Linear),RobustScaler,0.8103448275862069,0.80625,0.7865853658536586,0.7962962962962963,0.8615787380699893
Logistic Regression,RobustScaler,0.8103448275862069,0.7987804878048781,0.7987804878048781,0.7987804878048781,0.8610153764581124
SVM (RBF),MinMaxScaler,0.8103448275862069,0.7916666666666666,0.8109756097560976,0.8012048192771084,0.8599217921527041
AdaBoost,MinMaxScaler,0.8074712643678161,0.8050314465408805,0.7804878048780488,0.7925696594427245,0.8574363732767762
AdaBoost,StandardScaler,0.8074712643678161,0.8050314465408805,0.7804878048780488,0.7925696594427245,0.8574363732767762
AdaBoost,NoScaling,0.8074712643678161,0.8050314465408805,0.7804878048780488,0.7925696594427245,0.8574363732767762
AdaBoost,RobustScaler,0.8074712643678161,0.8050314465408805,0.7804878048780488,0.7925696594427245,0.8574363732767762
KNN (k=7),StandardScaler,0.7787356321839081,0.7770700636942676,0.7439024390243902,0.7601246105919003,0.8426729851537647
SVM (Linear),MinMaxScaler,0.8074712643678161,0.8012422360248447,0.7865853658536586,0.7938461538461539,0.8418942205726405
Logistic Regression,MinMaxScaler,0.7931034482758621,0.7674418604651163,0.8048780487804879,0.7857142857142857,0.834868769883351
KNN (k=5),StandardScaler,0.7701149425287356,0.7530120481927711,0.7621951219512195,0.7575757575757576,0.823170731707317
KNN (k=5),RobustScaler,0.7902298850574713,0.7791411042944786,0.774390243902439,0.7767584097859327,0.8226239395546129
KNN (k=7),RobustScaler,0.7701149425287356,0.7625,0.7439024390243902,0.7530864197530864,0.8197242841993637
KNN (k=3),RobustScaler,0.7758620689655172,0.7621951219512195,0.7621951219512195,0.7621951219512195,0.8194591728525981
SVM (Polynomial),RobustScaler,0.6752873563218391,0.6049382716049383,0.8963414634146342,0.7223587223587223,0.8145711823966066
KNN (k=3),StandardScaler,0.7873563218390804,0.7647058823529411,0.7926829268292683,0.7784431137724551,0.8139249734888654
KNN (k=7),MinMaxScaler,0.7270114942528736,0.7169811320754716,0.6951219512195121,0.7058823529411765,0.8120691940615058
SVM (RBF),NoScaling,0.7442528735632183,0.7300613496932515,0.725609756097561,0.72782874617737,0.8079433987274656
SVM (Polynomial),StandardScaler,0.8017241379310345,0.7987421383647799,0.774390243902439,0.7863777089783281,0.8075291622481442
KNN (k=7),NoScaling,0.7298850574712644,0.7058823529411765,0.7317073170731707,0.718562874251497,0.8009676564156946
SVM (Polynomial),NoScaling,0.7413793103448276,0.8425925925925926,0.5548780487804879,0.6691176470588235,0.7996752386002122
Naive Bayes,NoScaling,0.7011494252873564,0.6415094339622641,0.8292682926829268,0.723404255319149,0.7939422057264052
Naive Bayes,RobustScaler,0.6954022988505747,0.6355140186915887,0.8292682926829268,0.7195767195767195,0.7936770943796395
Naive Bayes,MinMaxScaler,0.6954022988505747,0.6355140186915887,0.8292682926829268,0.7195767195767195,0.7936770943796395
Naive Bayes,StandardScaler,0.6954022988505747,0.6355140186915887,0.8292682926829268,0.7195767195767195,0.7936770943796395
KNN (k=5),NoScaling,0.735632183908046,0.7093023255813954,0.7439024390243902,0.7261904761904762,0.7935445387062565
KNN (k=5),MinMaxScaler,0.7327586206896551,0.7204968944099379,0.7073170731707317,0.7138461538461538,0.7925172322375398
SVM (Sigmoid),StandardScaler,0.7787356321839081,0.7543859649122807,0.7865853658536586,0.7701492537313432,0.777091065747614
KNN (k=3),MinMaxScaler,0.7241379310344828,0.7207792207792207,0.676829268292683,0.6981132075471698,0.7755003976670201
KNN (k=3),NoScaling,0.7327586206896551,0.6983240223463687,0.7621951219512195,0.7288629737609329,0.7739925768822906
Decision Tree,NoScaling,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
Decision Tree,StandardScaler,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
Decision Tree,MinMaxScaler,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
Decision Tree,RobustScaler,0.7701149425287356,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7666025980911984
SVM (Sigmoid),RobustScaler,0.6666666666666666,0.6428571428571429,0.6585365853658537,0.6506024096385542,0.7132655090137858
SVM (Sigmoid),MinMaxScaler,0.5459770114942529,0.5168539325842697,0.5609756097560976,0.5380116959064327,0.5324264316012726
SVM (Sigmoid),NoScaling,0.5402298850574713,0.510752688172043,0.5792682926829268,0.5428571428571428,0.41542948038176036
Voting (Hard),StandardScaler,0.8218390804597702,0.8269230769230769,0.7865853658536586,0.80625,
